id,SAMPLE_ID,FILENAME,ALT_SAMLE_ID,DATA_FROMAT,SAMPLE_TYPE,PASSAGE,SUBJECT_ID,EXPERIMENTAL_STRATEGY,PAIRED_END,CAPTURE_KIT,PLATFORM,FILESIZE,CHECKSUM,,
5d5ffdb4e4b09cae76807a91,HCI030_pdx_P1_XXX_RNA_14967X18,14967X18_HCI030_PDXtumor_P1_6.txt.gz,14967X18,1,2,1,HCI-030,2,1,4,1,,,,
5d5ffdb4e4b09cae7680798e,HCI023_pdx_P0_XXX_RNA_14967X9,14967X9_HCI023_PDXtumor_P0_3.txt.gz,14967X9,1,2,0,HCI-023,2,1,4,1,,,,
5d5ffcfce4b011b529179209,HCI023_pdx_P0_XXX_WXS_14990X19,14990X19_HCI023_PDXtumor_P0_1.txt.gz,14990X19,1,2,0,HCI-023,1,1,1,1,,,,
5d5ffcfce4b011b52917920e,HCI023_pdx_P0_XXX_WXS_14990X19,14990X19_HCI023_PDXtumor_P0_2.txt.gz,14990X19,1,2,0,HCI-023,1,2,1,1,,,,
5d5ffcfce4b011b529179221,HCI030_pdx_P1_XXX_WXS_14990X21,14990X21_HCI028_PDXtumor_P1_1.txt.gz,14990X21,1,2,1,HCI-028,1,1,1,1,,,,
5d5ffcfce4b011b5291791f2,HCI030_pdx_P1_XXX_WXS_14990X21,14990X21_HCI028_PDXtumor_P1_2.txt.gz,14990X21,1,2,1,HCI-028,1,2,1,1,,,,
5d5ffcfce4b011b529179211,HCI013EI_pdx_P2_XXX_WXS_14990X22,14990X22_HCI013EI_PDXtumor_P2_1.txt.gz,14990X22,1,2,2,HCI-013EI,1,1,1,1,,,,
5d5ffcfce4b011b52917913e,HCI013EI_pdx_P2_XXX_WXS_14990X22,14990X22_HCI013EI_PDXtumor_P2_2.txt.gz,14990X22,1,2,2,HCI-013EI,1,2,1,1,,,,
5d5ffcfce4b011b529179206,HCI028_pdx_P1_XXX_WXS_14990X23,14990X23_HCI030_PDXtumor_P1_1.txt.gz,14990X23,1,2,1,HCI-030,1,1,1,1,,,,
5d5ffcfce4b011b52917920d,HCI028_pdx_P1_XXX_WXS_14990X23,14990X23_HCI030_PDXtumor_P1_2.txt.gz,14990X23,1,2,1,HCI-030,1,2,1,1,,,,
5d5ffcfce4b011b529179212,HCI024_pdx_P2_XXX_WXS_14990X24,14990X24_HCI024_PDXtumor_P2_1.txt.gz,14990X24,1,2,2,HCI-024,1,1,1,1,,,,
5d5ffcfce4b011b529179204,HCI024_pdx_P2_XXX_WXS_14990X24,14990X24_HCI024_PDXtumor_P2_2.txt.gz,14990X24,1,2,2,HCI-024,1,2,1,1,,,,
5d5ffcfce4b011b5291790ad,HCI019_tumor_patient_XXX_WXS_14990X9,14990X9_HCI019_patienttumor_1.txt.gz,14990X9,1,1,NA,HCI-019,1,1,1,1,,,,
5d5ffcfce4b011b5291790a7,HCI019_tumor_patient_XXX_WXS_14990X9,14990X9_HCI019_patienttumor_2.txt.gz,14990X9,1,1,NA,HCI-019,1,2,1,1,,,,
5d5ffdb4e4b09cae76807a14,HCI001_pdxo_P5_96_RNA_15246X4,15246X4_HCI001_PDxO_P5_2.txt.gz,15246X4,1,2,5,HCI-001,2,1,4,1,,,,
5d5ffdb4e4b09cae76807aee,HCI010_pdxo_P6_65_RNA_15246X5,15246X5_HCI010_PDxO_P6_2.txt.gz,15246X5,1,2,6,HCI-010,2,1,4,1,,,,
5d5ffdb4e4b09cae76807b1f,HCI014_pdx_P0_XXX_RNA_15301X1,15301X1_HCI014_PDXtumor_P0_2.txt.gz,15301X1,1,2,0,HCI-014,2,1,4,1,,,,
5d5ffdb4e4b09cae76807b07,HCI041_pdx_P0_XXX_RNA_15301X6,15301X6_TOW18S_PDXtumor_P0_3.txt.gz,15301X6,1,2,0,TOW-18S,2,1,4,1,,,,
5d5ffcfce4b011b52917913c,HCI014_pdx_P0_XXX_WXS_15306X5,15306X5_HCI014_PDXtumor_P0_1.txt.gz,15306X5,1,2,0,HCI-014,1,1,1,1,,,,
5d5ffcfce4b011b5291791fd,HCI014_pdx_P0_XXX_WXS_15306X5,15306X5_HCI014_PDXtumor_P0_2.txt.gz,15306X5,1,2,0,HCI-014,1,2,1,1,,,,
5d5ffcfce4b011b529179201,TOW18S_pdx_P0_XXX_WXS_15306X7,15306X7_TOW18S_PDXtumor_P0_1.txt.gz,15306X7,1,2,0,TOW-18S,1,1,1,1,,,,
5d5ffcfce4b011b5291791e5,TOW18S_pdx_P0_XXX_WXS_15306X7,15306X7_TOW18S_PDXtumor_P0_2.txt.gz,15306X7,1,2,0,TOW-18S,1,2,1,1,,,,
5d5ffdb4e4b09cae76807a53,HCI043_pdx_P1_XXX_RNA_15838X1,15838X1_190321_D00550_0554_ACDLRBANXX_S54_L002_R1_001.fastq.gz,15838X1,1,2,1,TOW-19,2,1,4,1,,,,
615dee335dc8036109d2947d,TOW19_pdx_P1_XXX_WXS_15839X1,15839X1_190405_D00550_0558_BCDLGTANXX_S315_L004_R1_001.fastq.gz,15839X1,1,2,1,TOW-19,1,1,1,1,,,,
615dee335dc8036109d2947c,TOW19_pdx_P1_XXX_WXS_15839X1,15839X1_190405_D00550_0558_BCDLGTANXX_S315_L004_R2_001.fastq.gz,15839X1,1,2,1,TOW-19,1,2,1,1,,,,
